sample_id,source_version,question_summary,matched_topic,expected_topic,cardiology_relevance,topic_correctness,matched_term_role,error_type,keep_for_cardiology_dataset,keep_for_error_analysis,reason,original_note
q0035,llm_supervised,LLM primary topic: Congenital heart anomaly association (Tetralogy of Fallot),pulmonary embolism,Tetralogy of Fallot / Congenital cardiac anomaly association,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是判断与所描述疾病相关的先天性心脏畸形，指向法洛四联症等先心病；pulmonary embolism 与先天性心脏畸形无关，属于主题误匹配。,LLM relevance note: The question explicitly asks which cardiac anomaly is most likely associated with the described condition.
q0023,llm_supervised,LLM primary topic: Initial diagnostic test for a congenital cardiac condition (murmur with cyanosis),tetralogy of Fallot,Tetralogy of Fallot / Initial diagnostic test for cyanotic congenital heart disease,yes,partial,primary_disease,partial_match,yes,yes,本题核心是发绀和杂音提示的先天性心脏病的初始诊断检查；tetralogy of Fallot 是核心疑似诊断，但真实考点更具体为初始检查选择，因此标为 partial。,LLM relevance note: The question tests cardiology by asking the best initial diagnostic test for a suspected cyanotic congenital heart disease based on murmur and cyanosis.
q0338,llm_supervised,LLM primary topic: Perioperative cardiac risk assessment before noncardiac surgery,myocardial infarction,Perioperative cardiac risk assessment before noncardiac surgery,yes,partial,past_history,partial_match,yes,yes,本题核心是非心脏手术前的围术期心脏风险评估；prior MI/angina 是重要风险背景，但不是完整主考点，因此标为 partial。,LLM relevance note: The question asks for the most appropriate next step to assess perioperative cardiac risk in a patient with prior MI/angina and abnormal ECG findings.
q0116,llm_supervised,LLM primary topic: Drug-induced arrhythmia (multifocal ventricular tachycardia),arrhythmia,Drug-induced arrhythmia / Multifocal ventricular tachycardia,yes,partial,primary_disease,partial_match,yes,yes,本题核心是 ECG 记录的多灶性室性心动过速及其诱发药物判断；arrhythmia 是核心疾病类别，但真实考点更具体为药物诱发性心律失常，因此标为 partial。,LLM relevance note: The question tests cardiology concepts involving ECG-documented ventricular tachycardia and selecting the responsible antiarrhythmic drug.
q0395,llm_supervised,LLM primary topic: Cardiac pathology of aortic lesion in donor heart (transplant context),heart failure,Aortic atherosclerotic lesion pathology in donor heart,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是移植供体心脏/主动脉腔内病变的病理学判断，可能涉及动脉粥样硬化斑块；heart failure 只是移植场景或治疗背景，不是主考点，因此不纳入核心心血管 QA 数据集。,LLM relevance note: The question tests a cardiology-related pathology finding in the donor heart’s aortic luminal lesion.
q0148,llm_supervised,LLM primary topic: Hypertrophic cardiomyopathy diagnosis in a newborn,heart failure,Hypertrophic cardiomyopathy diagnosis in newborn,yes,partial,manifestation,partial_match,yes,yes,本题核心是根据新生儿心肌肥厚的超声表现判断肥厚型心肌病；heart failure 可作为心肌病导致的临床表现或结果，但不是完整主考点，因此标为 partial。,LLM relevance note: The question tests a cardiac diagnosis based on ultrasound finding of hypertrophied myocardium and cardiomyopathy-related presentation.
q0499,llm_supervised,LLM primary topic: Valvular heart disease diagnosis (aortic stenosis vs other regurgitation/stenosis),hypertension,Aortic stenosis / Valvular heart disease diagnosis,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是根据症状和体征判断瓣膜性心脏病，尤其是主动脉瓣狭窄等鉴别；hypertension 只是背景危险因素，不是瓣膜病主考点，因此标为 incorrect。,LLM relevance note: The question asks for the most likely cardiac valvular diagnosis based on symptoms and exam findings.
q0437,llm_supervised,LLM primary topic: Stable angina-related cause of intermittent headaches,angina,Stable angina medication adverse effect / Nitrate-induced headache,partial,partial,treatment_context,partial_match,no,yes,本题核心是稳定型心绞痛患者间歇性头痛的原因，可能与硝酸酯类药物扩血管副作用有关；angina 是用药背景和相关疾病，但真实考点更偏药物不良反应，因此不纳入核心心血管 QA 数据集。,"LLM relevance note: The question centers on a complication/mechanism in a patient with stable angina, requiring a cardiology-linked pathophysiologic explanation."
q0119,llm_supervised,LLM primary topic: Cardiac arrest–related CNS ischemic injury,cardiac arrest,CNS ischemic injury after cardiac arrest,partial,partial,prerequisite,partial_match,no,yes,本题核心是心脏骤停后中枢神经系统缺血损伤的时间和部位；cardiac arrest 是关键前置事件，但真实考点更偏缺血性脑损伤病理生理，因此不纳入核心心血管 QA 数据集。,"LLM relevance note: The question tests physiology of ischemic damage timing/location following cardiac arrest, which is cardiology-related."
q0443,llm_supervised,LLM primary topic: Heart sound (additional sound before S1) and left ventricular compliance/filling physiology,myocardial infarction,S4 heart sound / Decreased left ventricular compliance,yes,partial,prerequisite,partial_match,yes,yes,本题核心是 S1 前额外心音即 S4，以及左室顺应性下降/舒张期充盈异常的机制；myocardial infarction 可作为导致左室顺应性下降的相关心脏背景，但不是完整主考点，因此标为 partial。,LLM relevance note: The question tests interpretation of an abnormal cardiac auscultation finding and its underlying left ventricular mechanical process.
q0051,llm_supervised,LLM primary topic: Heart failure physiology/etiology,hypertension,Heart failure physiology / Etiology based on exam and imaging,yes,partial,past_history,partial_match,yes,yes,本题核心是根据额外心音、端坐呼吸、心电图和胸片判断心衰病因或生理机制；hypertension 是心衰的重要危险因素/背景，但不是完整主考点，因此标为 partial。,"LLM relevance note: The question centers on cardiac exam findings (extra heart sound, orthopnea) and EKG/chest x-ray to determine the cause of the patient’s symptoms, which is a cardiology concept."
q0194,llm_supervised,LLM primary topic: Congenital cardiac condition complications (murmur with rib erosions) leading to risk of right heart failure,aortic stenosis,Coarctation of the aorta / Risk of heart failure if untreated,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是根据杂音、肋骨切迹/肋骨侵蚀等表现判断先天性大血管病变及未治疗风险，整体更符合主动脉缩窄及其并发症；aortic stenosis 与主考点不一致，属于先天性/瓣膜性心血管题中的主题误匹配。,"LLM relevance note: The question tests a cardiology diagnosis and asks about the greatest risk if left untreated, with cardiac exam findings central to the scenario."
q0540,llm_supervised,LLM primary topic: Syncope with systolic murmur—hypertrophic cardiomyopathy vs aortic stenosis,aortic stenosis,Aortic stenosis / Syncope with systolic murmur,yes,correct,primary_disease,correct,yes,no,本题核心是晕厥伴收缩期杂音时判断主动脉瓣狭窄与肥厚型心肌病等鉴别；matched_topic 为 aortic stenosis，若题干最终指向 AS，则与主考点一致，可作为正确心血管 QA 样本。,LLM relevance note: The question tests a cardiology diagnosis based on characteristic murmur findings and syncope.
q0232,llm_supervised,LLM primary topic: Syncope diagnosis (cardiac causes),angina,Cardiac syncope differential diagnosis / Aortic stenosis or hypertrophic cardiomyopathy,yes,incorrect,manifestation,vague_topic,yes,yes,本题核心是反复晕厥的心源性病因鉴别，如主动脉瓣狭窄或肥厚型梗阻性心肌病；angina 只是可能的缺血性胸痛表现或宽泛冠心病线索，不是主考点。,"LLM relevance note: The question tests identification of the most likely diagnosis for recurrent syncope with cardiac differential diagnoses (e.g., aortic stenosis, hypertrophic obstructive cardiomyopathy)."
q0325,llm_supervised,LLM primary topic: Cardiac diagnosis (mitral stenosis) based on murmur characteristics and symptoms of heart failure,pulmonary embolism,Mitral stenosis diagnosis based on murmur and heart failure symptoms,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是根据杂音特点和心衰症状判断二尖瓣狭窄；pulmonary embolism 与主考点不一致，属于心肺症状题中的主题误匹配。,LLM relevance note: The question tests a specific cardiac diagnosis using classic murmur timing/location and heart failure symptoms.
q0427,llm_supervised,LLM primary topic: Etiology of acute decompensated heart failure due to papillary muscle rupture after STEMI,heart failure,Acute mitral regurgitation due to papillary muscle rupture after STEMI,yes,partial,manifestation,partial_match,yes,yes,本题核心是 STEMI 后乳头肌断裂导致急性二尖瓣反流并引起急性失代偿心衰；heart failure 是临床表现/结果，但真实主考点更具体为 MI 后机械并发症，因此标为 partial。,LLM relevance note: The question tests a cardiology mechanism (papillary muscle rupture causing acute decompensated heart failure) following a recent STEMI.
q0186,llm_supervised,LLM primary topic: QT prolongation (cardiac electrophysiology risk) as a medication side effect,angina,Medication-induced QT prolongation / Cardiac electrophysiology adverse effect,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是药物副作用导致 QT 间期延长及心电生理风险；angina 只是用药或临床背景，不是主考点，因此不纳入核心心血管 QA 数据集。,LLM relevance note: The question’s tested concept is identifying QT prolongation on EKG as a side effect of the next management step.
q0083,llm_supervised,LLM primary topic: Cardiac catheterization/MI complication risk leading to peripheral ischemic findings,myocardial infarction,Cholesterol embolization syndrome after cardiac catheterization for myocardial infarction,partial,partial,treatment_context,partial_match,no,yes,本题核心是心肌梗死后急诊心导管/支架术后出现外周缺血表现，提示胆固醇栓塞等术后并发症；myocardial infarction 是进行心导管治疗的前置背景，但真实主考点是操作相关并发症，因此不纳入核心心血管 QA 数据集。,"LLM relevance note: The question centers on a complication occurring shortly after emergency cardiac catheterization for myocardial infarction and stent placement, requiring a cardiology-linked risk assessment."
q0189,llm_supervised,LLM primary topic: Cardiac evaluation of syncope with suspected congenital heart disease/right-sided failure,pulmonary embolism,Congenital heart disease or right-sided heart failure evaluation by echocardiography,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是晕厥、心脏症状和杂音背景下通过超声心动图评估先天性心脏病或右心功能异常；pulmonary embolism 与主考点不一致，属于心肺症状题中的主题误匹配。,LLM relevance note: The question tests a cardiology investigation (what echocardiography would detect) in a patient with cardiac symptoms and a murmur.
q0181,llm_supervised,LLM primary topic: Chronic heart failure beta-blocker trial (carvedilol vs metoprolol) and NNT calculation,heart failure,Chronic heart failure beta-blocker trial interpretation / Number needed to treat calculation,partial,partial,calculation_context,calculation_context_confusion,no,yes,本题使用慢性心衰 β 受体阻滞剂试验作为背景，但真实考点是临床试验结果解读和 NNT 计算，偏统计学/循证医学计算，因此不纳入核心心血管 QA 数据集。,"LLM relevance note: The question tests interpretation of a cardiology clinical trial in chronic heart failure and requires calculating number needed to treat from mortality outcomes."
q0107,llm_supervised,LLM primary topic: Valvular heart disease diagnosis (mitral valve pathology),tetralogy of Fallot,Mitral valve disease diagnosis based on cardiac examination,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是根据心脏查体判断特定二尖瓣病变；tetralogy of Fallot 与二尖瓣瓣膜病主考点不一致，属于心脏查体/瓣膜病题中的主题误匹配。,"LLM relevance note: The question asks for the most likely diagnosis based on cardiac examination findings, focusing on a specific mitral valve condition."
q0343,llm_supervised,LLM primary topic: Atrial fibrillation anticoagulation mechanism (factor VII/extrinsic pathway),atrial fibrillation,Atrial fibrillation anticoagulation mechanism / Warfarin effect on extrinsic pathway,yes,partial,primary_disease,partial_match,yes,yes,本题核心是房颤患者抗凝降低血栓栓塞风险的机制，涉及凝血因子 VII/外源性凝血通路；atrial fibrillation 是核心疾病背景，但真实考点更具体为抗凝药物机制，因此标为 partial。,LLM relevance note: The question tests a cardiology-related diagnosis (irregularly irregular narrow-complex tachycardia with absent P waves consistent with atrial fibrillation) and the mechanism of an anticoagulant that reduces thromboembolic risk.
q0136,llm_supervised,LLM primary topic: EKG finding associated with acute neurologic presentation (likely cardioembolic stroke),pulmonary embolism,Atrial fibrillation as ECG risk factor for cardioembolic stroke,partial,incorrect,distractor,vague_topic,no,yes,本题核心是急性神经系统表现/疑似心源性栓塞性卒中时，识别增加风险的 ECG 表现，通常指向 atrial fibrillation；pulmonary embolism 与主考点不一致，因此不纳入核心心血管 QA 数据集。,"LLM relevance note: The question asks which EKG finding increases risk for the acute presentation, directly testing a cardiology-related mechanism via cardiac rhythm."
q0359,llm_supervised,LLM primary topic: Mitral stenosis auscultation findings,mitral regurgitation,Mitral stenosis auscultation findings,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是二尖瓣狭窄的听诊表现；mitral regurgitation 与二尖瓣狭窄不同，属于二尖瓣瓣膜病内部的主题误匹配。,LLM relevance note: The question tests a cardiology diagnosis (mitral stenosis) and asks which murmur is expected on auscultation.
q0349,llm_supervised,LLM primary topic: Neonatal cardiac condition treatment (ductus-dependent lesion),tetralogy of Fallot,Ductus-dependent congenital heart disease / Prostaglandin E1 treatment,yes,partial,prerequisite,partial_match,yes,yes,本题核心是新生儿导管依赖型先天性心脏病的治疗，通常涉及使用 PGE1 维持动脉导管开放；tetralogy of Fallot 属于相关发绀型先心病背景，但真实考点更具体为导管依赖病变治疗，因此标为 partial。,"LLM relevance note: The question centers on a newborn with a systolic murmur and respiratory distress, asking which treatment is effective for the underlying cardiac diagnosis."
q0331,llm_supervised,LLM primary topic: Constrictive pericarditis (cause of current condition),heart failure,Constrictive pericarditis / Heart failure-like symptoms,yes,partial,manifestation,partial_match,yes,yes,本题核心是根据心脏体征和影像判断缩窄性心包炎及其病因；heart failure 是临床表现/症状模式，但不是完整主考点，因此标为 partial。,LLM relevance note: The question tests a cardiology diagnosis and mechanism (constrictive pericarditis) based on cardiac findings and imaging.
q0036,llm_supervised,LLM primary topic: Infective endocarditis diagnosis confirmation (aortic valve vegetation/regurgitation),aortic stenosis,Infective endocarditis diagnosis confirmation / Aortic valve vegetation,yes,partial,prerequisite,partial_match,yes,yes,本题核心是通过超声心动图发现主动脉瓣赘生物/反流来确认感染性心内膜炎；aortic stenosis 是瓣膜病背景或相近瓣膜概念，但不是完整主考点，因此标为 partial。,LLM relevance note: The question centers on confirming a cardiac diagnosis of infective endocarditis based on echocardiographic valve findings.
q0311,llm_supervised,LLM primary topic: Cardiac murmur change with squatting (valvular disease/obstructive cardiomyopathy),angina,Dynamic systolic murmur with squatting / Hypertrophic cardiomyopathy or valvular disease,yes,incorrect,manifestation,vague_topic,yes,yes,本题核心是通过蹲下动作导致的收缩期杂音变化判断瓣膜病或梗阻性心肌病；angina 只是胸痛/缺血症状概念，不是主考点。,LLM relevance note: The question tests how a systolic murmur changes with squatting to identify the underlying cardiac diagnosis.
q0473,llm_supervised,LLM primary topic: Prevention of cardiomyopathy/heart failure due to cardiac amyloidosis,hypertension,Cardiac amyloidosis / Prevention of cardiomyopathy and heart failure,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是淀粉样变性心脏受累导致心肌病/心衰表现，以及可预防该过程的干预；hypertension 只是背景或错误匹配，不是主考点。,"LLM relevance note: The question centers on preventing a cardiac condition causing heart failure findings (S3, JVD, edema, reduced ejection fraction, mitral regurgitation) and asks which intervention would have prevented it."
q0087,llm_supervised,LLM primary topic: Diastolic dysfunction (heart failure with preserved ejection fraction) etiology,pulmonary embolism,Diastolic dysfunction / Heart failure with preserved ejection fraction,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是舒张功能障碍/HFpEF 的病因判断；pulmonary embolism 与主考点不一致，属于心肺症状题中的主题误匹配。,LLM relevance note: The question tests a cardiology diagnosis (impaired diastolic relaxation) and asks for the likely cardiac cause of symptoms.
q0273,llm_supervised,LLM primary topic: Cardiac contractility drug adverse effects (PDE inhibition),heart failure,Heart failure inotrope mechanism / PDE inhibitor adverse effect,yes,partial,primary_disease,partial_match,yes,yes,本题核心是通过 PDE 抑制改善心肌收缩力的心衰药物及其不良反应；heart failure 是核心临床背景，但真实考点更具体为正性肌力药物机制和副作用，因此标为 partial。,LLM relevance note: The question tests a cardiology treatment mechanism (improving contractility in heart failure) and asks for the drug’s adverse effect.
q0506,llm_supervised,LLM primary topic: Valvular heart disease diagnosis based on murmur characteristics,hypertension,Valvular heart disease diagnosis based on murmur characteristics,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是根据特异性心脏杂音和呼吸困难等症状判断瓣膜性心脏病；hypertension 只是背景危险因素，不是主考点。,LLM relevance note: The question asks for the most likely cardiac diagnosis using specific heart murmur findings and symptoms of dyspnea.
q0125,llm_supervised,LLM primary topic: Congenital heart disease/murmur diagnosis (patent ductus arteriosus vs other defects),patent ductus arteriosus,Patent ductus arteriosus / Continuous machinery murmur,yes,correct,primary_disease,correct,yes,no,本题核心是根据新生儿连续性机器样杂音判断动脉导管未闭；matched_topic 与主考点一致，可作为正确心血管/先心病 QA 样本。,"LLM relevance note: The question asks which cardiac finding is most likely based on a continuous murmur in a neonate, directly testing cardiology diagnosis."
q0470,llm_supervised,LLM primary topic: Acute coronary syndrome pathophysiology (thrombus formation over necrotic plaque),coronary artery disease,Acute coronary syndrome pathophysiology / Plaque rupture with thrombus formation,yes,partial,prerequisite,partial_match,yes,yes,本题核心是急性冠脉综合征中坏死/破裂斑块表面血栓形成导致急性冠脉闭塞的机制；coronary artery disease 是核心疾病背景，但真实考点更具体为 ACS 的病理生理机制，因此标为 partial。,LLM relevance note: The question tests a cardiology-specific pathophysiologic mechanism underlying an acute coronary occlusion and thrombus formation.
q0236,llm_supervised,LLM primary topic: Pulmonary embolism risk stratification (modified Wells scoring),pulmonary embolism,Pulmonary embolism risk stratification / Modified Wells score,yes,partial,primary_disease,partial_match,yes,yes,本题核心是使用 modified Wells score 对肺栓塞进行临床概率评估；pulmonary embolism 是核心疾病背景，但真实考点更具体为风险分层评分，因此标为 partial。,"LLM relevance note: The question tests clinical probability assessment for pulmonary embolism using a Wells scoring system, which is a cardiopulmonary thromboembolic diagnosis."
q0476,llm_supervised,LLM primary topic: Cardiac valvular disease causing syncope (mid-diastolic murmur),cardiac arrest,Valvular heart disease causing syncope / Mid-diastolic murmur diagnosis,yes,incorrect,manifestation,vague_topic,yes,yes,本题核心是根据晕厥和舒张中期杂音判断瓣膜性心脏病；cardiac arrest 只是严重心血管事件/结局概念，不是当前主考点，因此标为 incorrect。,"LLM relevance note: The question asks for the most likely diagnosis based on a characteristic heart murmur and syncope, which is a cardiology-focused diagnostic concept."
q0138,llm_supervised,LLM primary topic: Aortic stenosis diagnosis (murmur characteristics),aortic stenosis,Aortic stenosis diagnosis based on murmur characteristics,yes,correct,primary_disease,correct,yes,no,本题核心是根据典型心脏杂音特征诊断主动脉瓣狭窄；matched_topic 与主考点一致，可作为正确心血管/瓣膜病 QA 样本。,LLM relevance note: The question directly tests diagnostic support for aortic stenosis based on cardiac murmur findings.
q0327,llm_supervised,LLM primary topic: Congenital heart disease (coarctation of the aorta),tetralogy of Fallot,Coarctation of the aorta / Congenital heart disease diagnosis,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是判断主动脉缩窄等先天性心血管疾病；tetralogy of Fallot 与主动脉缩窄不一致，属于先天性心脏病内部的主题误匹配。,"LLM relevance note: The question asks which cardiac finding is most likely, with options including specific congenital heart defects and matched term coarctation of the aorta."
q0511,llm_supervised,LLM primary topic: Atrial natriuretic peptide effects in congestive heart failure,heart failure,Atrial natriuretic peptide effects in congestive heart failure,yes,partial,primary_disease,partial_match,yes,yes,本题核心是充血性心衰患者中房钠肽的生理作用和治疗相关效应；heart failure 是核心疾病背景，但真实考点更具体为 ANP 的机制，因此标为 partial。,LLM relevance note: The question tests the physiologic and treatment-related effects of atrial natriuretic peptide in a patient with congestive heart failure.
q0285,llm_supervised,LLM primary topic: Infective endocarditis vs myocarditis (cardiac infection diagnosis),valvular heart disease,Infective endocarditis diagnosis / Valvular vegetation and blood cultures,yes,partial,prerequisite,partial_match,yes,yes,本题核心是根据超声心动图和血培养鉴别感染性心内膜炎与心肌炎；valvular heart disease 是心内膜炎相关瓣膜背景或上位概念，但不是完整主考点，因此标为 partial。,"LLM relevance note: The question tests a cardiac diagnosis based on echocardiography findings and blood cultures, distinguishing infective endocarditis from myocarditis."
q0112,llm_supervised,LLM primary topic: Management of cyanotic congenital heart disease presenting with syncope and murmur,tetralogy of Fallot,Tetralogy of Fallot / Acute management of cyanotic spell,yes,partial,primary_disease,partial_match,yes,yes,本题核心是发绀、杂音、晕厥及蹲踞缓解所提示的发绀型先天性心脏病急性处理，常见指向法洛四联症缺氧发作；tetralogy of Fallot 是核心诊断背景，但真实考点更具体为急性管理，因此标为 partial。,LLM relevance note: The question centers on acute management of a likely cyanotic cardiac condition (murmur with cyanosis and squatting response) rather than non-cardiac issues.
q0350,llm_supervised,LLM primary topic: PDE-5/NO-cGMP mechanism causing hypotension after erectile dysfunction medication,coronary artery disease,PDE-5 inhibitor and nitrate interaction / NO-cGMP-mediated hypotension,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是勃起功能障碍药物与硝酸酯/NO-cGMP 通路相关导致低血压和晕厥的药理机制；coronary artery disease 只是用药禁忌或心血管病史背景，不是主考点，因此不纳入核心心血管 QA 数据集。,LLM relevance note: The question tests the cardiovascular pharmacologic mechanism (NO–cGMP/PDE-5) underlying syncope and hypotension in the setting of cardiac history.
