sample_id,source_version,question_summary,matched_topic,expected_topic,cardiology_relevance,topic_correctness,matched_term_role,error_type,keep_for_cardiology_dataset,keep_for_error_analysis,reason,original_note
q0677,baseline_no_llm,"59yo F with intra-op hyperthermia, hypercarbia, rigidity after isoflurane/succinylcholine; malignant hyperthermia treatment.",myocardial infarction,Malignant hyperthermia / Dantrolene treatment,no,incorrect,distractor,out_of_scope,no,yes,本题核心是吸入麻醉药和琥珀胆碱诱发的恶性高热及丹曲林治疗；myocardial infarction 与主考点无关，属于完全错误匹配。,
q0233,baseline_no_llm,"66yo M post-trauma with subdural hematoma, AF on warfarin; intervention to reduce cerebral blood flow.",atrial fibrillation,Subdural hematoma / Increased intracranial pressure management,partial,incorrect,past_history,past_history_distraction,no,yes,本题核心是外伤后硬膜下血肿及降低脑血流/颅内压的处理；atrial fibrillation 只是抗凝用药背景，不是主考点，因此不纳入核心心血管 QA 数据集。,
q0791,baseline_no_llm,"40yo M with substernal chest pain radiating to arm, anterolateral ST elevations; STEMI diagnosis.",angina,ST-elevation myocardial infarction,yes,partial,manifestation,partial_match,yes,yes,本题核心是胸痛放射至左臂并伴前外侧 ST 段抬高，诊断为 STEMI；angina 是胸痛/冠心病相关表现，但不如 STEMI 具体，因此标为 partial。,
q0296,baseline_no_llm,"21yo F with right calf DVT off warfarin, activated protein C resistance; further evaluation finding.",pulmonary embolism,Factor V Leiden thrombophilia / Activated protein C resistance,partial,incorrect,complication,manifestation_vs_cause,no,yes,本题核心是年轻女性 DVT 和 activated protein C resistance，提示 Factor V Leiden 血栓形成倾向；pulmonary embolism 是静脉血栓栓塞可能并发症，但不是本题主考点，因此不纳入核心心血管 QA 数据集。,
q0081,baseline_no_llm,"Newborn with cyanosis, machine-like murmur, transposition of great arteries (PA from LV, aorta from RV); maternal evaluation.",patent ductus arteriosus,Transposition of the great arteries / Maternal diabetes risk factor,yes,partial,prerequisite,partial_match,yes,yes,本题核心是大动脉转位及相关母体危险因素评估；patent ductus arteriosus 在 TGA 新生儿中可作为维持体循环/肺循环混合的关键通道，但不是主诊断，因此标为 partial。,
q0922,baseline_no_llm,"74yo M with chronic HF, prior MIs, dies of VF; expected microscopic autopsy finding.",heart failure,Chronic ischemic heart disease / Myocardial fibrosis after prior myocardial infarctions,yes,partial,primary_disease,partial_match,yes,yes,本题核心是慢性心衰和既往多次 MI 后死于室颤时的心肌显微病理改变，通常指向陈旧性梗死后的纤维化；heart failure 是核心临床背景，但真实考点更具体为缺血性心肌病/心肌纤维化，因此标为 partial。,
q0103,baseline_no_llm,66yo M with CHF and worsening pulmonary edema; statement about loop diuretics.,heart failure,Loop diuretics in congestive heart failure / Pulmonary edema treatment,yes,partial,primary_disease,partial_match,yes,yes,本题核心是充血性心衰合并肺水肿时袢利尿剂的作用机制或用药判断；heart failure 是核心疾病背景，但真实考点更具体为治疗药物，因此标为 partial。,
q0882,baseline_no_llm,"63yo M with right HF signs (JVD, edema, ascites), LSB systolic murmur; expected echocardiogram finding.",myocardial infarction,Tricuspid regurgitation / Right-sided heart failure echocardiographic finding,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是右心衰体征、胸骨左缘收缩期杂音和超声表现，提示三尖瓣反流或右心系统病变；myocardial infarction 不是主考点，属于主题误匹配。,
q0889,baseline_no_llm,"41yo F with positional dyspnea, syncope, diastolic murmur, left atrial mass on echo; likely myxoma.",mitral regurgitation,Atrial myxoma / Left atrial mass,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是体位性呼吸困难、晕厥、舒张期杂音和左房肿块，提示心房黏液瘤；mitral regurgitation 与主考点不一致，属于心脏杂音背景下的错误匹配。,
q0464,baseline_no_llm,"63yo M with progressive dyspnea, weight loss, hyponatremia; smoker, shipyard worker; biopsy finding.",hypertension,Malignant mesothelioma / Asbestos exposure,no,incorrect,past_history,past_history_distraction,no,yes,本题核心是造船厂石棉暴露、进行性呼吸困难、体重下降和低钠血症，提示恶性间皮瘤或相关肺胸膜肿瘤；hypertension 只是既往病史背景，不是主考点。,
q0650,baseline_no_llm,"59yo M with mechanical AVR, fever, vegetation on prosthetic valve after dental extraction; PVE management.",aortic stenosis,Prosthetic valve endocarditis management,yes,partial,prerequisite,partial_match,yes,yes,本题核心是机械主动脉瓣置换术后、拔牙后发热并发现人工瓣赘生物，提示人工瓣感染性心内膜炎及其处理；aortic stenosis 是导致 AVR 的原始瓣膜病背景，不是当前主考点，因此标为 partial。,
q0373,baseline_no_llm,"46yo F with chronic itching, hepatomegaly, elevated alkaline phosphatase; likely primary biliary cholangitis.",mitral valve prolapse,Primary biliary cholangitis,no,incorrect,distractor,out_of_scope,no,yes,本题核心是慢性瘙痒、肝大和碱性磷酸酶升高提示原发性胆汁性胆管炎；mitral valve prolapse 与主考点无关，属于完全错误匹配。,
q0166,baseline_no_llm,"69yo M with HTN/HF on multiple meds; dizziness, HR 50; ECG-guided initial management.",hypertension,Symptomatic bradycardia / Medication-induced bradyarrhythmia management,yes,partial,past_history,partial_match,yes,yes,本题核心是高血压/心衰患者用药后出现头晕和心动过缓，并根据 ECG 进行初始处理；hypertension 是重要背景疾病但不是完整主考点，因此标为 partial。,
q0379,baseline_no_llm,"Newborn with cyanosis, holosystolic murmur LLSB, single S2, narrow mediastinum; maternal evaluation likely shows diabetes.",tetralogy of Fallot,Transposition of the great arteries / Maternal diabetes risk factor,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是发绀新生儿、单一 S2、纵隔狭窄以及母体糖尿病风险因素，整体更符合大动脉转位；tetralogy of Fallot 与主考点不一致，属于先天性心脏病内部的主题误匹配。,
q0363,baseline_no_llm,"62yo M with extensive CAD (prior MI, LAD/LCX stenosis), PVD; recommended revascularization.",hypertension,Coronary artery disease revascularization / CABG indication,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是多支冠状动脉病变合并外周血管病时的血运重建策略，通常指向 CABG 等冠脉重建决策；hypertension 只是背景风险因素，不是主考点。,
q0214,baseline_no_llm,56yo M with prior myocarditis; ECG with high R amplitude and incomplete LBBB; likely treatment.,heart failure,Cardiac resynchronization therapy / Heart failure with conduction abnormality,yes,partial,primary_disease,partial_match,yes,yes,本题核心是既往心肌炎后出现心衰/传导异常相关 ECG 表现并选择治疗，可能涉及心脏再同步化治疗；heart failure 是核心疾病背景，但真实考点更具体为传导异常下的治疗选择，因此标为 partial。,
q0686,baseline_no_llm,"72yo M with AF on warfarin, cognitive decline, falls, headache; likely chronic subdural hematoma.",atrial fibrillation,Chronic subdural hematoma,partial,incorrect,past_history,past_history_distraction,no,yes,本题核心是认知下降、跌倒和头痛提示慢性硬膜下血肿；atrial fibrillation 只是华法林抗凝背景/既往病史，不是主考点，因此不纳入核心心血管 QA 数据集。,
q0273,baseline_no_llm,33yo F immigrant with childhood sore throats; severe MR with EF 25%; rheumatic heart disease treatment focus.,mitral regurgitation,Rheumatic heart disease with severe mitral regurgitation / Valve surgery indication,yes,partial,manifestation,partial_match,yes,yes,本题核心是儿童期咽喉感染后风湿性心脏病导致的重度二尖瓣反流及治疗重点；mitral regurgitation 是关键瓣膜表现，但真实主考点更偏风湿性心脏病治疗策略，因此标为 partial。,
q0905,baseline_no_llm,"59yo F with CHF, dyspnea on simple tasks relieved by rest; NYHA functional classification.",heart failure,NYHA functional classification in congestive heart failure,yes,partial,primary_disease,partial_match,yes,yes,本题核心是根据心衰患者活动耐量判断 NYHA 心功能分级；heart failure 是核心疾病背景，但真实考点更具体为功能分级，因此标为 partial。,
q0699,baseline_no_llm,48yo M with refractory STEMI (inferior + anteroseptal ST elevations); 3-week post-reperfusion gross myocardial finding.,angina,Myocardial infarction healing stage / Granulation tissue after STEMI,yes,partial,manifestation,partial_match,yes,yes,本题核心是 STEMI 再灌注后约 3 周的心肌大体病理改变；angina 与冠脉缺血相关，但不是本题主考点，因此标为 partial。,
q0663,baseline_no_llm,"57yo F with NSCLC post-resection, started on vinblastine; highest-risk side effect.",atrial fibrillation,Vinblastine adverse effect / Myelosuppression,no,incorrect,distractor,out_of_scope,no,yes,本题核心是非小细胞肺癌术后使用 vinblastine 的主要不良反应，常见为骨髓抑制；atrial fibrillation 与主考点无关，属于完全错误匹配。,
q0073,baseline_no_llm,"44yo M with polyuria, arthralgia, hyperpigmentation, hepatomegaly, small testes; cardiovascular structure at risk (hemochromatosis).",pulmonary embolism,Hemochromatosis-related cardiomyopathy / Myocardial iron deposition,partial,incorrect,distractor,vague_topic,yes,yes,本题核心是血色病导致的心血管结构受累，通常为心肌铁沉积/心肌病；pulmonary embolism 与主考点不一致，但题目明确涉及心血管结构风险，因此保留为心血管相关错误分析样本。,
